name,cen_shift,cen_shift-,cen_shift+,concentration,concentration-,concentration+
SDSSXCS-617,0.0488,nan,nan,0.1133,0.0594,0.0779
SDSSXCS-6245,0.05,0.0042,0.0046,0.0688,0.0043,0.007
SDSSXCS-21847,0.0627,0.0026,0.0031,0.2862,0.0099,0.014
SDSSXCS-22748,0.0176,0.0071,0.0049,0.2498,0.0228,0.0146
SDSSXCS-9,0.017,0.0032,0.004,0.1928,0.0165,0.0163
SDSSXCS-8060,0.0054,0.0005,0.0005,0.4009,0.0042,0.0034
SDSSXCS-15984,0.0058,0.0008,0.0008,0.2711,0.0024,0.0031
SDSSXCS-75,0.0104,0.0031,0.0051,0.1161,0.0073,0.0083
SDSSXCS-667,0.0126,0.0002,0.0002,0.4608,0.0009,0.0007
SDSSXCS-9258,0.0065,0.0024,0.0028,0.1736,0.0099,0.0102
SDSSXCS-1628,0.0042,0.0004,0.0004,0.5355,0.0022,0.0023
SDSSXCS-7405,0.0599,0.0027,0.0039,0.1168,0.007,0.0066
SDSSXCS-47,0.0945,0.0025,0.0027,0.2108,0.0056,0.0066
SDSSXCS-7416,0.0155,0.0045,0.004,0.1782,0.0134,0.0103
SDSSXCS-2588,0.0483,nan,nan,0.5673,nan,nan
SDSSXCS-298,0.0194,0.0009,0.001,0.2151,0.0023,0.002
SDSSXCS-10897,0.0326,0.0101,0.0133,0.1663,0.0199,0.0258
SDSSXCS-3746,0.0831,0.0012,0.0013,0.2034,0.0045,0.0051
SDSSXCS-189,0.1378,0.0117,0.009,0.051,0.0064,0.0069
SDSSXCS-4245,0.0461,0.0032,0.0028,0.1225,0.0088,0.0086
SDSSXCS-408,0.0086,0.0002,0.0002,0.3124,0.0007,0.0007
SDSSXCS-10401,0.0115,0.0027,0.0035,0.1575,0.0075,0.0096
