name,cent_ra,cent_ra-,cent_ra+,cent_dec,cent_dec-,cent_dec+,position_angle,position_angle-,position_angle+,ax_ratio,ax_ratio-,ax_ratio+
SDSSXCS-5743,31.35187,0.00057,0.0006,-5.7294,0.00052,0.00066,10.6865,40.1253,39.2844,0.987,0.0216,0.0193
SDSSXCS-1131,33.11287,0.0005,0.0005,-5.62673,0.00048,0.00051,2.1344,24.6463,23.3492,0.9966,0.0244,0.0195
SDSSXCS-29799,33.11313,0.00086,0.00066,-6.076,0.00094,0.00077,-9.6865,40.5126,37.7906,0.9881,0.0534,0.0182
SDSSXCS-852,33.67164,0.00021,0.00027,-4.55465,0.00024,0.00027,77.8118,3.499,4.3808,0.9686,0.0092,0.0114
SDSSXCS-5830,34.04508,0.00055,0.00049,-4.24224,0.00058,0.00063,83.5966,3.809,3.7167,0.9628,0.0221,0.0212
SDSSXCS-5977,35.86713,0.00105,0.00064,-8.8688,0.00106,0.00126,82.7731,16.3826,18.2827,0.9861,0.0418,0.018
SDSSXCS-16227,36.3001,0.00108,0.001,-6.38525,0.00123,0.00101,87.2953,21.4072,32.7395,0.9904,0.052,0.019
SDSSXCS-2984,36.42887,0.00042,0.00041,-3.19508,0.00045,0.00046,48.3811,6.7845,7.6963,0.9374,0.014,0.0134
SDSSXCS-6955,36.45381,0.00058,0.00081,-5.89453,0.00068,0.00063,-1.6279,24.4028,27.5018,0.9935,0.0235,0.0163
SDSSXCS-64824,36.84293,0.00037,0.00031,-3.36205,0.00028,0.00026,2.1493,7.1449,7.18,0.993,0.0215,0.0103
SDSSXCS-8366,37.65443,0.00078,0.00059,-4.99225,0.00072,0.00065,4.9536,26.694,22.5144,0.9968,0.039,0.0198
SDSSXCS-120,37.92773,0.00015,0.00016,-4.88143,0.0001,0.00014,-9.6751,1.8464,1.5284,0.9595,0.0084,0.0068
SDSSXCS-572,42.01406,6e-05,8e-05,-3.52879,6e-05,0.00011,-84.9729,3.027,5.4708,0.9913,0.0088,0.0049
SDSSXCS-226,42.04938,0.00015,0.00014,-2.27335,0.00014,0.00015,44.4022,7.9623,8.8117,0.9576,0.0108,0.0116
SDSSXCS-22,113.08596,7e-05,8e-05,31.63138,6e-05,7e-05,57.3013,3.6626,3.5518,0.9595,0.0045,0.0062
SDSSXCS-103,117.70448,0.00023,0.00022,17.69664,0.00021,0.00024,42.9634,2.196,1.5552,0.8588,0.0078,0.007
SDSSXCS-212,125.82673,0.00052,0.00041,15.96594,0.00032,0.00038,39.5318,8.5299,10.9795,0.9274,0.0187,0.0179
SDSSXCS-19922,126.05271,0.00063,0.00093,30.07679,0.00058,0.00068,-82.7377,32.7283,39.4895,0.9923,0.0345,0.0206
SDSSXCS-890,126.49051,0.00026,0.00022,4.24627,0.0002,0.00026,22.6787,5.1864,6.6784,0.9358,0.0205,0.0144
SDSSXCS-31,130.73877,8e-05,7e-05,36.36592,8e-05,9e-05,77.3372,1.4301,1.6699,0.9455,0.0063,0.007
SDSSXCS-325,132.60988,0.00035,0.00038,0.25111,0.00038,0.00041,68.8129,7.5278,8.8988,0.9515,0.0167,0.0216
SDSSXCS-26424,133.22814,0.00071,0.00055,17.96146,0.00057,0.00071,-56.595,9.8255,11.3464,0.9433,0.0256,0.0228
SDSSXCS-5159,134.17062,0.00042,0.00026,5.89612,0.00049,0.00054,-80.7727,2.7464,2.6016,0.9571,0.0146,0.0125
SDSSXCS-9803,135.15336,0.0001,0.00012,20.89464,0.00011,8e-05,-43.3169,1.9314,2.6739,0.8474,0.0108,0.0129
SDSSXCS-1884,137.21859,0.00063,0.0007,28.86168,0.00072,0.00044,-86.4252,15.56,10.8617,0.9885,0.0271,0.0177
SDSSXCS-5,137.30171,0.0001,0.0001,10.9761,0.0001,0.0001,-1.7928,1.415,0.9759,0.9883,0.0083,0.0063
SDSSXCS-13,139.46798,0.00024,0.00019,51.72578,0.00012,0.00013,-14.5595,1.7269,1.8783,0.9363,0.0083,0.0083
SDSSXCS-5225,140.07854,0.00014,0.00014,37.10518,0.00011,8e-05,42.0002,2.2594,2.4181,0.8845,0.0142,0.0099
SDSSXCS-21,140.09607,0.00013,0.00014,30.50422,0.0001,0.00014,27.5221,2.9454,3.8962,0.9537,0.0071,0.0067
SDSSXCS-23,140.21986,0.00027,0.00021,30.46789,0.00024,0.00023,80.2641,5.0231,4.5834,0.9653,0.02,0.0154
SDSSXCS-617,143.0377,0.00071,0.00071,29.08234,0.00081,0.00074,-78.1651,3.8202,4.099,0.9149,0.0352,0.0282
SDSSXCS-6245,145.9356,0.00069,0.00061,16.73788,0.00086,0.00083,-82.727,9.5873,10.8086,0.9762,0.0261,0.0246
SDSSXCS-21847,146.3742,0.00039,0.00035,9.77365,0.00027,0.00035,0.2795,5.4854,4.5723,0.9971,0.0236,0.0099
SDSSXCS-22748,150.2207,0.0005,0.00057,15.67291,0.00076,0.00046,-69.8702,5.1948,5.5584,0.8651,0.0405,0.04
SDSSXCS-9,150.61415,0.00036,0.00035,20.5169,0.00034,0.00034,9.9994,8.3546,10.9189,0.9578,0.0371,0.0263
SDSSXCS-8060,151.92736,0.00023,0.00029,38.01426,0.00017,0.00016,-51.177,16.1108,12.852,0.9808,0.0096,0.009
SDSSXCS-15984,154.26464,0.00014,0.00012,39.0479,0.00011,9e-05,-77.3699,3.317,3.0641,0.9723,0.0066,0.0065
SDSSXCS-75,154.40111,0.00055,0.00103,59.56439,0.00041,0.00031,42.426,13.6422,21.6545,0.9564,0.027,0.0241
SDSSXCS-667,155.9157,2e-05,1e-05,4.18701,2e-05,2e-05,44.6345,1.0824,0.6934,0.9349,0.0025,0.0025
SDSSXCS-9258,159.50982,0.00108,0.00108,41.77224,0.00075,0.00064,-38.5471,16.8318,20.1263,0.9649,0.0243,0.0248
SDSSXCS-1628,160.18501,7e-05,8e-05,39.9537,5e-05,6e-05,45.9371,0.9656,0.9512,0.8367,0.005,0.0038
SDSSXCS-7405,161.44171,0.00038,0.00041,4.34014,0.00046,0.00037,-63.492,3.2732,4.3795,0.9136,0.0206,0.0171
SDSSXCS-47,161.8507,0.00045,0.00034,15.24317,0.00033,0.00037,29.2912,4.3782,5.2846,0.9044,0.0193,0.0183
SDSSXCS-7416,164.23158,0.00037,0.00042,6.97679,0.00031,0.00028,-0.733,6.4031,6.7101,0.9968,0.0213,0.0111
SDSSXCS-2588,165.48938,0.00103,0.00072,22.65989,0.00123,0.00081,-76.3658,12.4995,10.4681,0.9561,0.0394,0.036
SDSSXCS-298,168.22426,0.00011,8e-05,13.44186,0.00013,0.00013,70.2957,0.5729,0.59,0.8234,0.0053,0.005
SDSSXCS-10897,170.2308,0.00122,0.00115,43.30674,0.0009,0.00073,-9.6095,15.1401,12.6741,0.9745,0.0316,0.023
SDSSXCS-3746,174.0997,0.00032,0.0003,7.2246,0.00028,0.00024,2.231,3.3016,4.8319,0.9914,0.0163,0.0058
SDSSXCS-189,175.60393,0.00056,0.00064,58.52642,0.00032,0.00035,-78.4898,5.4791,6.0267,0.9538,0.0205,0.0225
SDSSXCS-4245,177.25807,0.00042,0.00036,22.41292,0.00035,0.00038,37.262,13.1533,12.5814,0.9588,0.0192,0.0231
SDSSXCS-408,178.82591,2e-05,2e-05,23.40593,2e-05,3e-05,-88.9378,0.1937,0.1653,0.9908,0.0014,0.0017
SDSSXCS-10401,179.61559,0.0006,0.0006,26.49683,0.00054,0.00051,32.0139,11.931,10.2973,0.9536,0.0229,0.0221
SDSSXCS-58896,180.93501,0.00121,0.00126,44.07752,0.00081,0.00077,-51.1514,13.1745,18.8563,0.8998,0.0362,0.041
SDSSXCS-474,180.97311,0.00048,0.00033,1.79047,0.00046,0.00039,-63.8462,4.1738,4.4719,0.913,0.0155,0.0159
SDSSXCS-7247,181.16009,0.00161,0.00162,35.37895,0.00157,0.00098,-9.1823,37.9966,33.0212,0.9817,0.0438,0.0157
SDSSXCS-19467,182.81403,0.00032,0.00046,39.19452,0.00023,0.00027,-24.3887,11.455,12.5998,0.9415,0.0302,0.0281
SDSSXCS-455,184.90476,0.00015,0.00018,-3.31173,0.00019,0.00018,-68.2844,1.9671,2.201,0.8447,0.013,0.0124
SDSSXCS-1174,187.5807,0.00061,0.00059,16.27774,0.00066,0.00053,74.8568,5.2117,5.2124,0.9255,0.0235,0.024
SDSSXCS-608,187.77184,0.00076,0.00054,15.94182,0.00063,0.00064,26.9566,25.5377,35.3346,0.9718,0.0317,0.0197
SDSSXCS-1645,188.48266,0.00023,0.00023,15.43597,0.00019,0.0002,48.3322,9.9561,8.784,0.9569,0.0119,0.0147
SDSSXCS-225,188.59443,0.00016,0.00022,9.78789,0.00017,0.00016,-40.3002,0.694,0.7082,0.7229,0.0057,0.0067
SDSSXCS-9313,189.07633,0.00027,0.00021,28.98471,0.00025,0.00026,-50.9362,18.1073,19.8387,0.9739,0.0132,0.015
SDSSXCS-286,189.24536,0.00065,0.00067,63.1884,0.00021,0.0002,-7.3964,4.7217,5.755,0.9734,0.0161,0.0202
SDSSXCS-2347,189.67159,0.00038,0.00032,9.47599,0.00031,0.00025,10.0629,6.8744,9.8328,0.9697,0.0219,0.0221
SDSSXCS-28269,194.09106,0.00118,0.00121,25.76577,0.001,0.00112,-5.2628,43.4208,58.5562,0.9937,0.0341,0.0169
SDSSXCS-6307,195.67041,0.00172,0.00203,67.47579,0.00078,0.00079,3.2987,15.4551,18.5115,0.9964,0.017,0.0102
SDSSXCS-241,195.98785,0.00089,0.0013,67.51463,0.00029,0.00036,-30.2913,9.6972,9.0041,0.9372,0.0141,0.0214
SDSSXCS-893,196.49783,0.00044,0.00073,26.51347,0.00042,0.00039,-0.2819,4.7614,4.3499,0.9941,0.0216,0.0119
SDSSXCS-7432,196.95585,0.00027,0.00022,29.43076,0.00024,0.00028,-49.6411,7.5308,6.2504,0.9192,0.0238,0.0195
SDSSXCS-11613,197.48671,0.00052,0.00048,32.37319,0.00042,0.00035,30.4118,30.3981,23.7087,0.9683,0.0404,0.0245
SDSSXCS-3,197.87366,4e-05,4e-05,-1.34049,5e-05,4e-05,-78.8123,0.6509,0.7324,0.9543,0.0029,0.0031
SDSSXCS-5939,197.93787,0.00044,0.00047,22.03565,0.00041,0.00037,60.3368,6.3134,6.5439,0.9178,0.0217,0.018
SDSSXCS-11881,199.98099,0.00054,0.00061,33.31624,0.00048,0.00042,-7.2927,22.8347,23.1744,0.9833,0.0309,0.0157
SDSSXCS-11394,200.1736,0.00056,0.00075,33.16715,0.00055,0.0007,48.3335,2.8605,2.9641,0.7335,0.0383,0.044
SDSSXCS-907,200.71102,0.00015,0.00017,31.65223,0.00016,0.00016,47.4763,18.8871,15.4808,0.9789,0.0123,0.0127
SDSSXCS-14715,201.28796,0.00192,0.00229,65.84156,0.00096,0.00074,47.6232,47.5454,40.2083,0.9791,0.0273,0.0217
SDSSXCS-309,201.51996,0.00026,0.00025,12.38689,0.00023,0.00022,-16.3807,3.7664,5.4828,0.9369,0.0153,0.0209
SDSSXCS-457,203.13165,0.00021,0.00022,50.4143,0.00015,0.00013,-18.2082,1.9964,1.2626,0.8954,0.0111,0.0078
SDSSXCS-35,203.18332,0.00015,0.00014,50.54586,0.00012,0.00014,43.2834,0.6752,0.7627,0.7886,0.0055,0.0057
SDSSXCS-6,203.83142,0.00021,0.00019,41.00127,0.00015,0.00012,-19.7752,1.5945,2.1054,0.8865,0.0093,0.0101
SDSSXCS-176,204.20375,0.0003,0.00042,10.43932,0.00036,0.00045,-48.8331,6.5739,6.902,0.9219,0.0211,0.0159
SDSSXCS-3672,208.30876,0.00036,0.00032,11.58599,0.00031,0.00034,7.5759,6.9714,7.2386,0.9689,0.028,0.0237
SDSSXCS-43,210.2577,2e-05,1e-05,2.87725,1e-05,2e-05,81.9995,0.6654,0.7825,0.9817,0.0017,0.0017
SDSSXCS-32,213.60327,0.00067,0.00053,-0.37817,0.0005,0.00059,-71.4637,39.6921,30.695,0.9872,0.0159,0.0113
SDSSXCS-16286,213.89476,0.00081,0.00102,28.39453,0.00079,0.00089,9.8984,16.329,18.218,0.977,0.0412,0.0209
SDSSXCS-5527,214.11346,0.00022,0.00022,23.25627,0.00025,0.00023,-67.8588,1.576,1.9774,0.8625,0.0103,0.0086
SDSSXCS-4313,214.63022,0.00021,0.00019,25.18185,0.00014,0.00012,-53.4881,3.5882,5.936,0.9124,0.0126,0.0123
SDSSXCS-574,216.33911,0.00037,0.00027,63.19525,0.00015,0.00016,-48.7575,1.6187,1.5939,0.834,0.0095,0.0094
SDSSXCS-65,216.50414,0.0001,7e-05,37.82662,7e-05,5e-05,-0.9665,1.5181,1.3386,0.9966,0.0046,0.0028
SDSSXCS-165,217.60885,0.00093,0.00059,24.5944,0.00064,0.00082,-75.5532,6.5729,5.3777,0.936,0.02,0.0284
SDSSXCS-4003,217.96045,0.00016,0.00015,13.53556,0.00016,0.00021,-58.7105,1.5661,1.7424,0.8438,0.0095,0.0107
SDSSXCS-2836,220.58224,0.00017,0.00017,22.30179,0.00018,0.0002,-54.09,3.3493,3.7225,0.9035,0.0107,0.0103
SDSSXCS-210,223.05048,0.00053,0.00059,37.88004,0.00054,0.00036,52.8673,10.7333,13.5125,0.9216,0.0333,0.0334
SDSSXCS-2288,224.31249,5e-05,4e-05,22.34225,6e-05,5e-05,-59.7919,1.7329,2.1018,0.9088,0.0068,0.0065
SDSSXCS-78,225.08272,6e-05,4e-05,21.36941,5e-05,8e-05,82.2132,0.8642,0.8645,0.9588,0.0056,0.0046
SDSSXCS-55,227.55049,0.00014,0.00019,33.51305,0.00011,0.00017,-56.6925,1.496,1.529,0.9118,0.0048,0.0063
SDSSXCS-137,228.81329,0.00031,0.00021,4.38327,0.00034,0.00022,28.3981,7.0955,4.6033,0.9733,0.0074,0.007
SDSSXCS-123,229.07791,0.00015,0.00011,0.09217,0.00015,0.00013,-49.1751,1.6966,2.3246,0.9043,0.0066,0.0086
SDSSXCS-382,229.34025,0.00048,0.00039,-0.71342,0.00046,0.0004,-31.1579,5.0554,7.574,0.9306,0.02,0.014
SDSSXCS-2282,232.97579,0.00071,0.00061,7.36285,0.00074,0.00056,-50.9664,10.1394,8.5567,0.9161,0.0351,0.0299
SDSSXCS-5624,233.76346,0.00112,0.00082,1.34246,0.0007,0.00067,0.0189,11.5156,11.5282,0.9954,0.0352,0.019
SDSSXCS-19,234.92141,0.00018,0.00022,34.41971,0.00021,0.0002,62.3249,1.895,1.457,0.833,0.0076,0.0126
SDSSXCS-3312,246.67616,0.00065,0.00054,42.67187,0.0003,0.00045,-86.1288,13.5917,13.1623,0.9925,0.022,0.0097
SDSSXCS-575,249.9043,0.00044,0.00046,47.05249,0.00028,0.00037,69.0361,2.8883,3.5474,0.8791,0.0141,0.0216
SDSSXCS-2,250.08446,0.00016,0.00014,46.7078,0.00013,0.0001,37.7497,0.7843,0.9043,0.7969,0.006,0.0048
SDSSXCS-30950,251.93062,0.00068,0.00105,34.93921,0.00067,0.00061,88.5654,12.453,15.106,0.9976,0.026,0.0132
SDSSXCS-480,260.04066,4e-05,5e-05,26.62358,5e-05,3e-05,-67.6832,0.6109,0.6816,0.9075,0.0031,0.0033
SDSSXCS-14,260.61233,7e-05,7e-05,32.13269,5e-05,6e-05,-34.028,2.2069,2.427,0.9398,0.0057,0.0043
SDSSXCS-1137,322.41571,7e-05,5e-05,0.08748,5e-05,4e-05,-24.2286,1.081,0.9819,0.8934,0.0041,0.0046
SDSSXCS-487,323.79815,0.0002,0.00017,-1.04848,0.0002,0.0002,-42.3294,3.8402,4.4078,0.9038,0.0143,0.0164
SDSSXCS-155,323.81964,0.00023,0.00017,1.42919,0.00028,0.00025,-57.2114,2.7781,1.9593,0.8709,0.0086,0.0101
SDSSXCS-2032,327.75443,0.0001,9e-05,-7.60841,0.0001,0.00013,-74.0365,2.9448,2.8934,0.9266,0.0175,0.015
SDSSXCS-10223,327.85352,0.00036,0.00041,-5.44582,0.00043,0.00041,44.8494,3.5151,3.6439,0.8647,0.0197,0.0143
SDSSXCS-29,328.40417,0.00011,0.00011,17.69623,9e-05,0.0001,26.9805,1.1596,1.3898,0.8761,0.0101,0.0064
SDSSXCS-110,336.51953,9e-05,8e-05,17.37374,9e-05,8e-05,83.0168,0.5791,0.5525,0.9594,0.0031,0.0034
SDSSXCS-913,339.9137,0.00039,0.0005,-5.72318,0.0003,0.00039,13.4712,9.1262,10.9088,0.9631,0.0284,0.0274
SDSSXCS-62,340.47715,0.00026,0.00028,17.53882,0.00028,0.00028,40.0981,29.1751,27.6995,0.9764,0.0238,0.0191
SDSSXCS-236,344.2196,0.00027,0.00025,5.50326,0.00019,0.00022,-11.4617,2.601,3.1076,0.9504,0.0131,0.0113
SDSSXCS-765,344.53114,0.00037,0.00029,20.91605,0.00042,0.00039,-74.6836,9.456,10.5439,0.9503,0.0293,0.0301
SDSSXCS-51,347.09156,0.00018,0.0002,-2.19112,0.0002,0.00015,32.4481,7.3878,6.3935,0.9337,0.0185,0.0159
SDSSXCS-41,347.88732,8e-05,9e-05,3.63465,0.0001,0.00012,-61.6595,1.2254,1.6465,0.884,0.0066,0.006
SDSSXCS-34,347.95226,0.00023,0.00021,3.67846,0.00023,0.00028,-63.5112,9.8125,9.043,0.9518,0.019,0.0159
SDSSXCS-11154,349.59439,0.00022,0.00033,18.73133,0.00024,0.00026,13.1735,2.6333,2.5209,0.9373,0.0114,0.0122
SDSSXCS-2092,350.35262,0.00038,0.00034,19.75418,0.00031,0.00031,71.2838,7.0518,6.4038,0.9329,0.027,0.0219
SDSSXCS-17923,350.46983,0.00095,0.00081,19.89459,0.00072,0.00073,89.1819,9.872,8.1481,0.9925,0.0354,0.0189
SDSSXCS-68,354.4096,0.00011,0.00011,0.27046,9e-05,0.00012,-5.4911,1.3166,1.2838,0.9704,0.0072,0.0075
SDSSXCS-147,355.3194,0.00011,0.00014,-9.02453,0.00012,0.00016,-50.7986,2.6285,2.3237,0.878,0.0074,0.0097
SDSSXCS-314,355.92146,0.0003,0.00026,0.30918,0.0003,0.00028,56.7305,2.5256,3.0874,0.8734,0.0157,0.0129
