,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
34,SDSSXCS-22,0.4208,0.0405,4.4645,0.2336,0.1942,0.0165,-10.082
35,SDSSXCS-226,0.4061,0.0445,4.3832,0.2504,0.2162,0.0176,0.134
36,SDSSXCS-2282,0.3969,0.0442,4.4663,0.2542,0.213,0.0174,-1.357
37,SDSSXCS-2288,0.4131,0.0447,4.4076,0.2522,0.2166,0.0177,0.294
38,SDSSXCS-23,0.4065,0.0444,4.4205,0.254,0.2165,0.0177,0.251
39,SDSSXCS-2347,0.4107,0.0446,4.3844,0.2526,0.2169,0.0177,0.459
40,SDSSXCS-236,0.4087,0.0445,4.3978,0.2535,0.2173,0.0177,0.642
41,SDSSXCS-239,0.4082,0.0443,4.3952,0.2519,0.217,0.0177,0.49
42,SDSSXCS-2789,0.4108,0.0442,4.3648,0.2491,0.2153,0.0176,-0.322
43,SDSSXCS-2836,0.409,0.0443,4.3908,0.2522,0.2169,0.0177,0.464
44,SDSSXCS-286,0.4054,0.0446,4.3838,0.2501,0.2161,0.0176,0.069
45,SDSSXCS-29,0.4047,0.0452,4.3948,0.2519,0.2169,0.0177,0.457
46,SDSSXCS-290,0.4106,0.0443,4.4164,0.253,0.2162,0.0176,0.127
47,SDSSXCS-298,0.4093,0.0445,4.4095,0.2531,0.217,0.0177,0.494
48,SDSSXCS-2984,0.4087,0.0449,4.3994,0.2546,0.2171,0.0177,0.527
49,SDSSXCS-3,0.409,0.045,4.3979,0.2519,0.2173,0.0177,0.648
50,SDSSXCS-309,0.4087,0.0444,4.4175,0.2525,0.2163,0.0176,0.184
51,SDSSXCS-31,0.4054,0.0449,4.3909,0.2511,0.2168,0.0177,0.411
52,SDSSXCS-314,0.4091,0.0445,4.3844,0.2533,0.2169,0.0177,0.461
53,SDSSXCS-32,0.4138,0.0448,4.3736,0.2518,0.2165,0.0176,0.27
54,SDSSXCS-325,0.4067,0.0447,4.4146,0.2547,0.217,0.0176,0.469
55,SDSSXCS-3312,0.4098,0.0444,4.3911,0.2513,0.2164,0.0176,0.209
56,SDSSXCS-34,0.4075,0.0445,4.4143,0.2541,0.2169,0.0177,0.426
57,SDSSXCS-3672,0.4083,0.0446,4.4034,0.2538,0.2172,0.0177,0.583
58,SDSSXCS-382,0.4169,0.0444,4.3456,0.2484,0.2145,0.0175,-0.653
59,SDSSXCS-395,0.4091,0.0445,4.4075,0.2536,0.2173,0.0177,0.604
60,SDSSXCS-4003,0.4087,0.0444,4.3982,0.253,0.2172,0.0177,0.601
61,SDSSXCS-408,0.4107,0.0445,4.4089,0.2527,0.2169,0.0177,0.421
62,SDSSXCS-41,0.4083,0.0447,4.3976,0.2518,0.2173,0.0177,0.628
63,SDSSXCS-43,0.4136,0.0454,4.4022,0.2524,0.217,0.0177,0.506
64,SDSSXCS-455,0.4077,0.0444,4.3848,0.2517,0.2167,0.0177,0.347
65,SDSSXCS-457,0.4082,0.0446,4.3971,0.2526,0.2172,0.0177,0.579
66,SDSSXCS-480,0.4125,0.0448,4.4079,0.2528,0.2168,0.0176,0.374
67,SDSSXCS-487,0.4044,0.044,4.3729,0.248,0.2143,0.0175,-0.784
68,SDSSXCS-5,0.4104,0.0443,4.4214,0.2526,0.2158,0.0176,-0.089
69,SDSSXCS-5020,0.4105,0.0444,4.386,0.2513,0.2165,0.0176,0.241
70,SDSSXCS-51,0.408,0.0447,4.3944,0.2522,0.2172,0.0177,0.582
71,SDSSXCS-5159,0.4229,0.0444,4.3292,0.2461,0.2135,0.0172,-1.145
72,SDSSXCS-5225,0.408,0.0442,4.4208,0.2525,0.216,0.0176,0.023
73,SDSSXCS-55,0.4091,0.0445,4.3994,0.2527,0.2172,0.0177,0.602
74,SDSSXCS-5527,0.408,0.0446,4.4071,0.2538,0.217,0.0177,0.47
75,SDSSXCS-572,0.4105,0.0445,4.4117,0.2537,0.2169,0.0177,0.425
76,SDSSXCS-574,0.409,0.0446,4.394,0.2526,0.2172,0.0177,0.568
77,SDSSXCS-575,0.4102,0.0446,4.3824,0.252,0.2169,0.0177,0.453
78,SDSSXCS-5830,0.397,0.0449,4.4544,0.2558,0.215,0.0175,-0.446
79,SDSSXCS-586,0.4044,0.0447,4.4239,0.2545,0.2165,0.0176,0.235
80,SDSSXCS-593,0.4068,0.0446,4.4157,0.2543,0.217,0.0177,0.479
81,SDSSXCS-6,0.4106,0.0446,4.4051,0.2525,0.217,0.0177,0.481
82,SDSSXCS-64824,0.4075,0.0451,4.406,0.2551,0.2171,0.0177,0.517
83,SDSSXCS-65,0.4018,0.0447,4.3853,0.2491,0.2153,0.0176,-0.3
84,SDSSXCS-667,0.411,0.0453,4.4006,0.2516,0.2173,0.0177,0.628
85,SDSSXCS-68,0.4077,0.0447,4.3936,0.2518,0.2172,0.0177,0.576
86,SDSSXCS-6955,0.3946,0.0441,4.4738,0.2531,0.212,0.0172,-1.812
87,SDSSXCS-71,0.4086,0.0445,4.3967,0.2528,0.2174,0.0177,0.657
88,SDSSXCS-7416,0.4033,0.0451,4.4241,0.2557,0.2166,0.0177,0.322
89,SDSSXCS-7432,0.4052,0.0443,4.4323,0.2541,0.2155,0.0176,-0.212
90,SDSSXCS-75,0.408,0.0444,4.3822,0.2499,0.2159,0.0175,-0.034
91,SDSSXCS-765,0.4081,0.0444,4.4103,0.2537,0.2168,0.0177,0.405
92,SDSSXCS-7783,0.4113,0.0442,4.4214,0.2517,0.2154,0.0176,-0.235
93,SDSSXCS-78,0.41,0.0447,4.4022,0.2529,0.2173,0.0177,0.639
94,SDSSXCS-8060,0.4257,0.0437,4.3024,0.2422,0.2095,0.0172,-2.986
95,SDSSXCS-852,0.4102,0.0444,4.3762,0.2508,0.2164,0.0176,0.222
96,SDSSXCS-890,0.4089,0.0443,4.3765,0.2504,0.2162,0.0176,0.136
97,SDSSXCS-893,0.4037,0.0439,4.37,0.2471,0.2137,0.0175,-1.055
98,SDSSXCS-9,0.4084,0.0444,4.4088,0.2527,0.2169,0.0177,0.448
99,SDSSXCS-907,0.4045,0.0445,4.3838,0.2504,0.2159,0.0177,-0.019
100,SDSSXCS-9258,0.408,0.0454,4.4023,0.256,0.2172,0.0177,0.558
101,SDSSXCS-9313,0.4144,0.0447,4.3649,0.2519,0.2163,0.0176,0.176
102,SDSSXCS-944,0.4138,0.0443,4.3595,0.2495,0.2155,0.0176,-0.225
103,SDSSXCS-9803,0.4149,0.044,4.4221,0.25,0.2141,0.0175,-0.855
