,dropped_cluster,slope,slope+-,norm,norm+-,scatter,scatter+-,scatter_perc_change
67,SDSSXCS-487,0.647,0.1026,5.4767,0.3946,0.2447,0.02,-0.019
68,SDSSXCS-5,0.688,0.1024,5.659,0.4046,0.2414,0.0199,-1.335
69,SDSSXCS-5020,0.6644,0.1029,5.5318,0.3958,0.2452,0.02,0.219
70,SDSSXCS-51,0.6587,0.1036,5.5387,0.4029,0.2461,0.0201,0.572
71,SDSSXCS-5159,0.6828,0.1026,5.5412,0.393,0.2429,0.0198,-0.716
72,SDSSXCS-5225,0.6528,0.1034,5.5375,0.3975,0.2457,0.0201,0.406
73,SDSSXCS-55,0.6568,0.1032,5.5276,0.4001,0.2463,0.0201,0.637
74,SDSSXCS-5527,0.659,0.1038,5.5321,0.3964,0.2459,0.0201,0.497
75,SDSSXCS-572,0.6579,0.103,5.5402,0.4007,0.2463,0.0201,0.636
76,SDSSXCS-574,0.6591,0.1022,5.5177,0.3953,0.2458,0.0201,0.448
77,SDSSXCS-575,0.6577,0.1028,5.5331,0.3991,0.2462,0.0201,0.611
78,SDSSXCS-5830,0.6297,0.1031,5.5231,0.3914,0.2425,0.0198,-0.895
79,SDSSXCS-586,0.6618,0.1009,5.6006,0.3947,0.2411,0.0197,-1.491
80,SDSSXCS-593,0.6552,0.1029,5.5506,0.3975,0.2455,0.0201,0.339
81,SDSSXCS-6,0.6709,0.1044,5.586,0.4073,0.2453,0.0201,0.235
82,SDSSXCS-64824,0.6455,0.1042,5.5273,0.3958,0.2454,0.02,0.266
83,SDSSXCS-65,0.6443,0.1015,5.4474,0.3881,0.2417,0.0198,-1.238
84,SDSSXCS-667,0.6554,0.102,5.4923,0.3934,0.2448,0.02,0.029
85,SDSSXCS-68,0.6545,0.1035,5.5165,0.4005,0.2462,0.0201,0.607
86,SDSSXCS-6955,0.6285,0.101,5.5454,0.3886,0.2386,0.0195,-2.491
87,SDSSXCS-71,0.658,0.1037,5.5363,0.4017,0.2463,0.0201,0.668
88,SDSSXCS-7416,0.6392,0.102,5.5475,0.392,0.2421,0.0199,-1.076
89,SDSSXCS-7432,0.6479,0.1028,5.548,0.3958,0.2444,0.0201,-0.137
90,SDSSXCS-75,0.6524,0.1027,5.5061,0.396,0.2453,0.0201,0.235
91,SDSSXCS-765,0.6569,0.1038,5.5324,0.3971,0.246,0.0201,0.536
92,SDSSXCS-7783,0.6589,0.1035,5.5303,0.3971,0.2464,0.0201,0.676
93,SDSSXCS-78,0.6561,0.1026,5.5195,0.3984,0.2461,0.0201,0.574
94,SDSSXCS-8060,0.6982,0.102,5.5437,0.387,0.2387,0.0197,-2.459
95,SDSSXCS-852,0.6602,0.1026,5.5135,0.3951,0.2453,0.02,0.232
96,SDSSXCS-890,0.659,0.1026,5.505,0.3956,0.2451,0.0201,0.155
97,SDSSXCS-893,0.6563,0.1012,5.4719,0.3879,0.2415,0.0198,-1.325
98,SDSSXCS-9,0.6791,0.1023,5.6307,0.4039,0.2426,0.0199,-0.86
99,SDSSXCS-907,0.652,0.1022,5.4827,0.3938,0.2442,0.02,-0.22
100,SDSSXCS-9258,0.6473,0.1043,5.5266,0.396,0.2456,0.0201,0.387
101,SDSSXCS-9313,0.6658,0.1039,5.5298,0.3964,0.2457,0.0201,0.415
102,SDSSXCS-944,0.6613,0.1031,5.516,0.3952,0.2454,0.0201,0.289
103,SDSSXCS-9803,0.6619,0.1043,5.5312,0.3965,0.2462,0.0201,0.602
