name,cen_shift,cen_shift-,cen_shift+,concentration,concentration-,concentration+,lovisari2017_relaxed
SDSSXCS-62,0.0447,0.0032,0.004,0.0863,0.0068,0.0058,False
SDSSXCS-6245,0.0127,0.0032,0.0046,0.1671,0.0117,0.0125,True
SDSSXCS-6307,0.0153,0.0043,0.0064,0.1397,0.0095,0.0083,False
SDSSXCS-64824,0.011,0.0035,0.0031,0.2424,0.0135,0.0077,True
SDSSXCS-65,0.085,0.0006,0.0008,0.2041,0.0019,0.0014,False
SDSSXCS-667,0.0125,0.0002,0.0002,0.4598,0.0006,0.001,True
SDSSXCS-68,0.0843,0.0017,0.0013,0.1398,0.0033,0.0035,False
SDSSXCS-6955,0.0154,0.0041,0.0047,0.1745,0.013,0.0139,True
SDSSXCS-71,0.0313,0.0011,0.0014,0.1508,0.0039,0.0043,False
SDSSXCS-7190,0.0199,0.0065,0.0086,0.1322,0.0158,0.0216,False
SDSSXCS-7247,0.0253,0.01,0.011,0.0857,0.0156,0.0158,False
SDSSXCS-7405,0.0309,0.003,0.0032,0.0992,0.007,0.0056,False
SDSSXCS-7416,0.0229,0.0033,0.0051,0.1176,0.0088,0.0099,False
SDSSXCS-7432,0.0075,0.0028,0.002,0.3445,0.0107,0.008,True
SDSSXCS-75,0.0687,0.0073,0.0056,0.0777,0.0074,0.0077,False
SDSSXCS-765,0.0222,0.0032,0.004,0.2038,0.0108,0.0145,False
SDSSXCS-7783,0.0019,0.0003,0.0004,0.4813,0.0046,0.0046,True
SDSSXCS-78,0.0066,0.0004,0.0004,0.3932,0.0017,0.0016,True
SDSSXCS-8060,0.0099,0.0011,0.001,0.3613,0.005,0.0038,True
SDSSXCS-8366,0.029,0.0082,0.0097,0.1489,0.0136,0.0177,False
SDSSXCS-852,0.0226,0.0018,0.0023,0.1009,0.0033,0.0038,False
SDSSXCS-890,0.02,0.0016,0.002,0.2658,0.0067,0.0061,True
SDSSXCS-893,0.0441,0.0059,0.0046,0.0815,0.0096,0.0144,False
SDSSXCS-9,0.014,0.0039,0.0032,0.2146,0.0135,0.0144,True
SDSSXCS-907,0.049,0.002,0.0033,0.1257,0.0054,0.0042,False
SDSSXCS-913,0.0117,0.0036,0.0048,0.1714,0.0117,0.0125,True
SDSSXCS-9258,0.0196,0.0032,0.0036,0.1027,0.0072,0.0086,False
SDSSXCS-9313,0.043,0.0034,0.003,0.1543,0.0051,0.005,False
SDSSXCS-944,0.0484,0.0035,0.0025,0.1141,0.0068,0.0065,False
SDSSXCS-9803,0.0023,0.001,0.0009,0.5145,0.0051,0.0039,True
