name,MEM_MATCH_ID,xapa_ra,xapa_dec,rm_ra,rm_dec,z,r500,r500-,r500+,richness,richness_err,XCS_NAME,R_LAMBDA,xmm_targeted,xmm_serendipitous
SDSSXCS-395,395,28.3923,-1.3045,28.39304749733032,-1.3024067519898552,0.2391,1008.221,20.535,20.567,93.731,5.119,XMMXCS J015334.1-011816.1,0.98713475,Y,
SDSSXCS-944,944,29.28245,-5.87603,29.284612718286,-5.872907495528914,0.131,911.887,25.26,25.312,50.62,3.388,XMMXCS J015707.7-055233.7,0.8726997,Y,
SDSSXCS-593,593,29.60393,-1.78178,29.607968304056982,-1.7776157968718858,0.1564,754.246,18.068,18.102,53.961,2.886,XMMXCS J015824.9-014654.3,0.8839264000000001,Y,
SDSSXCS-35404,35404,30.1912,-6.70811,30.192246591355968,-6.70830062130136,0.3418,563.001,38.459,41.672,25.816,3.19,XMMXCS J020045.8-064229.2,0.76274,,Y
SDSSXCS-7190,7190,30.32949,-6.83185,30.331766668518014,-6.829912247884709,0.3446,505.678,39.601,52.34,43.115,3.607,XMMXCS J020119.0-064954.6,0.8451333000000001,,Y
SDSSXCS-7783,7783,30.42957,-2.19626,30.4451540175034,-2.1983097329456385,0.1942,827.691,14.487,14.504,35.853,3.227,XMMXCS J020143.0-021146.5,0.8145281,Y,
SDSSXCS-5743,5743,31.35186,-5.73034,31.367624856636944,-5.7324395332079625,0.2942,904.431,71.566,103.469,37.12,3.112,XMMXCS J020524.4-054349.2,0.8202014999999999,,Y
SDSSXCS-1131,1131,33.11184,-5.62629,33.11244922348698,-5.626558110873388,0.2993,942.893,104.815,150.078,65.677,3.944,XMMXCS J021226.8-053734.6,0.9193534,,Y
SDSSXCS-29799,29799,33.11643,-6.07783,33.114440071378546,-6.075059280775296,0.3211,427.254,34.226,34.776,22.261,2.521,XMMXCS J021227.9-060440.2,0.740474,,Y
SDSSXCS-852,852,33.67195,-4.55385,33.671222307833894,-4.56735422949614,0.1467,1027.021,21.742,21.741,56.188,3.522,XMMXCS J021441.2-043313.8,0.89110553,,Y
SDSSXCS-5830,5830,34.05245,-4.24064,34.019969289428936,-4.232554111417178,0.1525,636.773,45.652,58.969,24.565,2.182,XMMXCS J021612.5-041426.2,0.7552007,,Y
SDSSXCS-5977,5977,35.86893,-8.86898,35.867611096495814,-8.86541354510067,0.168,778.068,74.419,105.391,26.304,2.101,XMMXCS J022328.5-085208.3,0.76560307,,Y
SDSSXCS-16227,16227,36.30093,-6.38476,36.30121686639985,-6.383153253714432,0.1979,811.034,71.812,105.187,22.643,2.225,XMMXCS J022512.2-062305.1,0.7429939,,Y
SDSSXCS-2984,2984,36.43297,-3.19644,36.437202917025616,-3.2091747668732595,0.1426,786.301,77.125,85.727,34.48,2.375,XMMXCS J022543.9-031147.1,0.8081921,,Y
SDSSXCS-6955,6955,36.45483,-5.89415,36.455423799113724,-5.896198270947738,0.2228,668.994,47.899,61.951,32.131,2.832,XMMXCS J022549.1-055338.9,0.7968661,,Y
SDSSXCS-64824,64824,36.84374,-3.36191,36.84332966224797,-3.3609857776472736,0.3426,588.643,21.691,29.462,22.627,2.715,XMMXCS J022722.4-032142.8,0.74289376,,Y
SDSSXCS-8366,8366,37.65518,-4.99154,37.66156901930483,-4.991002177801351,0.3053,676.634,59.628,94.154,35.274,3.645,XMMXCS J023037.2-045929.5,0.8118770000000001,,Y
SDSSXCS-120,120,37.92722,-4.88181,37.92154943024108,-4.8826222440050415,0.1893,968.212,17.041,17.042,90.192,3.763,XMMXCS J023142.5-045254.5,0.97956496,Y,
SDSSXCS-572,572,42.01396,-3.52873,42.014131239893054,-3.52922998697999,0.1883,866.231,13.686,13.694,80.276,6.406,XMMXCS J024803.3-033143.4,0.9570112,Y,
SDSSXCS-226,226,42.04981,-2.27361,42.034758575476594,-2.2769932840841545,0.235,1284.236,31.176,31.125,97.194,5.2,XMMXCS J024811.9-021624.9,0.9943232,Y,
